category,category_id,class_number,comment,post_id,post_name,title,youtube
שיעורי חשבון,ch-030-heshbon-dalet,,נלמד לפתור שאלות מילוליות בעזרת ציורים  שיעזרו לנו להבין את הנתונים ואת דרכי הפתרון.,5885,כיתה-ד-שיעור-12ב-המשך-שאלות-מילוליות-בחי,כיתה ד - שיעור 12ב - המשך שאלות מילוליות בחיבור,http://www.youtube.com/watch?v=84LnMFZ1m-E
שיעורי חשבון,ch-030-heshbon-dalet,,נמצא מהו המרחק בין 2 המספרים על הישר נחלק את המרחק במספר הדילוגים,6382,כיתה-ד-שיעור-01-ב-מבחן-מיצב-ישר-המספרים,כיתה ד - שיעור 01 ב - מבחן מיצב - ישר המספרים,http://www.youtube.com/watch?v=yavTqyWpzCo
שיעורי חשבון,ch-030-heshbon-dalet,,"נחזור על ספרת היחידות, העשרות, המאות והאלפים במספר",6384,כיתה-ד-שיעור-02-ב-מבחן-מיצב-מבנה-עשרוני,כיתה ד - שיעור 02 ב - מבחן מיצב - מבנה עשרוני,http://www.youtube.com/watch?v=qiJ3eBlvLbk
שיעורי חשבון,ch-030-heshbon-dalet,,"נלמד שוב על ספרת היחידות, העשרות, המאות והאלפים במספר",6386,כיתה-ד-שיעור-02-ג-מבחן-מיצב-מבנה-עשרוני,כיתה ד - שיעור 02 ג - מבחן מיצב - מבנה עשרוני,http://www.youtube.com/watch?v=u28OGYMMkuE
שיעורי חשבון,ch-030-heshbon-dalet,,נשווה מספרים ונרשום סימן מתאים ביניהם,6404,כיתה-ד-מיצב-שיעור-06-ב-סימני-קטן-גדול-או-ש,"כיתה ד - מבחן מיצב - שיעור 06 ב - סימני קטן, גדול או שוה",http://www.youtube.com/watch?v=Wy4UtCIXHvY
שיעורי חשבון,ch-030-heshbon-dalet,,נלמד למצוא את הפרש הסדרה,6412,כיתה-ד-מיצב-שיעור-07-ג-סדרות,כיתה ד - מבחן מיצב - שיעור 07 ג' - סדרות,http://www.youtube.com/watch?v=y8zqGX8lNic
שיעורי חשבון,ch-030-heshbon-dalet,,נחשב את מספר הספרים בכל ספרייה ונשווה ביניהם. נאמוד את מספר הספרים שיש בכל ספרייה ונחשב את האומדן.,6416,כיתה-ד-שיעור-10-ב-אומדן,כיתה ד - מבחן מיצב - שיעור 10 ב - אומדן,https://www.youtube.com/watch?v=aKhY9wWSGTc
שיעורי חשבון,ch-030-heshbon-dalet,13,נלמד על חיסור בטור עם שימוש בפריטה וללא פריטה ונראה כיצד להשתמש בזה.,234,כיתה-ד-שיעור-13-חיסור-בטורבמאונך-עם-וללא,כיתה ד - שיעור 13 - חיסור בטור/במאונך עם וללא פריטה,http://www.youtube.com/watch?v=MKJsEmFMzaA
שיעורי חשבון,ch-030-heshbon-dalet,14,"בשיעור זה מוסבר באופן מפורט ובליווי ציורים, כיצד עלינו לפתור שאלות מילוליות בחיסור.",237,כיתה-ד-שיעור-14-שאלות-מילוליות-בחיסור,כיתה ד - שיעור 14 א - שאלות מילוליות בחיבור ובחיסור,http://www.youtube.com/watch?v=Kt6VktjjbYM
שיעורי חשבון,ch-030-heshbon-dalet,15,"נלמד על שיטה קלה לחיבור וחיסור של מאות ואלפים, למספרים בתחום הרבבה.",247,כיתה-ד-שיעור-15-חיבור-וחיסור-של-מאות-ואלפ,כיתה ד - שיעור 15 א - חיבור וחיסור של מאות ואלפים,http://www.youtube.com/watch?v=6W9jWWmlBnY
שיעורי חשבון,ch-030-heshbon-dalet,19,נסביר כיצד לפתור שאלות מילוליות בכפל בעזרת ציורים מתאימים.,249,כיתה-ד-שיעור-19-שאלות-מילוליות-בכפל,כיתה ד - שיעור 19 א - שאלות מילוליות בכפל,http://www.youtube.com/watch?v=oTnz-4pdzyg
שיעורי חשבון,ch-030-heshbon-dalet,16,נסביר כיצד לפתור בעיות מילוליות גם בעזרת ציר המספרים.,262,כיתה-ד-שיעור-16-שאלות-מילוליות-בחיבור-וח,כיתה ד - שיעור 16 א - שאלות מילוליות בחיבור וחיסור,http://www.youtube.com/watch?v=f6jB5Pt_X3c
שיעורי חשבון,ch-030-heshbon-dalet,17,מציאת נעלמים בתרגילי חיבור וחיסור בעזרת ציר המספרים,264,כיתה-ד-שיעור-17-מציאת-נעלמים-בחיבור-ובחי,כיתה ד - שיעור 17 - מציאת נעלמים בחיבור ובחיסור,http://www.youtube.com/watch?v=BBqN44poBCs
שיעורי חשבון,ch-030-heshbon-dalet,18,"נלמד כיצד פותרים תרגילי כפל בטור עם פירוק המספר למבנה עשרוני - ליחידות, ולעשרות.",272,כיתה-ד-שיעור-18-הסבר-לכפל-בטורבמאונך,כיתה ד - שיעור 18 - הסבר לכפל בטור/במאונך,http://www.youtube.com/watch?v=jF-j2d34Itg
שיעורי חשבון,ch-030-heshbon-dalet,20,נלמד כיצד לפתור תרגילי כפל של מספר דו ספרתי במספר דו ספרתי בטור/במאונך.,274,כיתה-ד-שיעור-20א-כפל-מספר-דו-ספרתי,כיתה ד - שיעור 20 א - כפל מספר דו ספרתי במספר דו ספרתי - הסבר,http://www.youtube.com/watch?v=D1DZMeB4myE
שיעורי הנדסה/גאומטריה,ch-060-handasa-dalet,01,נלמד מהי ההגדרה של ישרים מקבילים ומאונכים ונפתור תרגילים בנושא.,277,כיתה-ד-הנדסה-שיעור-01-ישרים-מקבילים-ומא-2,כיתה ד - הנדסה - שיעור 01 - ישרים מקבילים ומאונכים,http://www.youtube.com/watch?v=Y0UiwUWnakY
שיעורי הנדסה/גאומטריה,ch-060-handasa-dalet,02,נלמד מהי זוית סמוכה ומהי זוית נגדית ונפתור תרגילים בנושא.,279,כיתה-ד-הנדסה-שיעור-02-זויות-נגדיות-וסמו,כיתה ד - הנדסה - שיעור 02  - זויות נגדיות וסמוכות,http://www.youtube.com/watch?v=N0H4VOPwKOg
שיעורי חשבון,ch-030-heshbon-dalet,,נלמד לפתור שאלות מילוליות בעזרת ציורי מלבנים,5888,כיתה-ד-שיעור-14-ב-שאלות-מילוליות-בחיבור-ו,כיתה ד - שיעור 14 ב - שאלות מילוליות בחיבור ובחיסור,http://www.youtube.com/watch?v=J7ve-gI6KQk
שיעורי חשבון,ch-030-heshbon-dalet,,נפתור בעזרת ציורים מתאימים,5895,כיתה-ד-שיעור-19-ב-שאלות-מילוליות-בכפל,כיתה ד - שיעור 19 ב - שאלות מילוליות בכפל,http://www.youtube.com/watch?v=aHuRiyPRWzs
שיעורי חשבון,ch-030-heshbon-dalet,,נלמד לחבר ולחסר בהתאם למבנה העשרוני של המספר,6419,כיתה-ד-שיעור-15-ב-תרגילי-חיבור-וחיסור-בעש,כיתה ד - מבחן מיצב - שיעור 15 ב - תרגילי חיבור וחיסור בעשרות שלמות,http://www.youtube.com/watch?v=_tJS38hwhl8
שיעורי חשבון,ch-030-heshbon-dalet,,נפתור ונסביר כיצד לגשת לשאלות,6422,כיתה-ד-שיעור-16-ב-שאלות-מילוליות-בחיבור-ו,כיתה ד - מבחן מיצב - שיעור 16 ב - שאלות מילוליות בחיבור וחיסור,http://www.youtube.com/watch?v=0rUaeyYY4gE
שיעורי חשבון,ch-030-heshbon-dalet,,נסביר בעזרת שרטוטים וציורים כיצד לפתור שאלות,6425,כיתה-ד-מיצב-שיעור-16-ג-שאלות-מילוליות-בח,כיתה ד - מבחן מיצב - שיעור 16 ג - שאלות מילוליות בחיבור וחיסור,http://www.youtube.com/watch?v=JXD2esW6jAU
שיעורי חשבון,ch-030-heshbon-dalet,,נסביר את הדרך שבה פותרים תרגילי כפל שנלקחו ממבחן מיצ''ב,6490,כיתה-ד-שיעור-18-ב-מבחן-מיצב-תרגילי-כפל,כיתה ד - שיעור 18 ב - מבחן מיצב - תרגילי כפל,http://www.youtube.com/watch?v=n-taRMso5jQ
שיעורי חשבון,ch-030-heshbon-dalet,,נפתור שאלה מילולית בכפל ונסביר את דרך הפתרון בעזרת ציורים מתאימים,6492,כיתה-ד-שיעור-19-ג-מבחן-מיצב-שאלות-מילולי,כיתה ד - שיעור 19 ג - מבחן מיצ''ב - שאלות מילוליות בכפל,http://www.youtube.com/watch?v=4v0aqnqMGos
שיעורי חשבון,ch-030-heshbon-dalet,,נסביר כיצד ניגשים לפתור שאלה מילולית,6494,כיתה-ד-שיעור-19-ד-מבחן-מיצב-שאלות-מילולי,כיתה ד - שיעור 19 ד - מבחן מיצ''ב - שאלות מילוליות בכפל,http://www.youtube.com/watch?v=rLnfgGr8giE
שיעורי חשבון,ch-030-heshbon-dalet,,"נתאים סימן גדול, קטן או שווה לתרגילי כפל",6497,כיתה-ד-שיעור-20-ב-מבחן-מיצב-התאמת-סימן-מ,כיתה ד - שיעור 20 ב - מבחן מיצ''ב - התאמת סימן מתאים לכפל,http://www.youtube.com/watch?v=wHasjjPb3V4
שיעורי חשבון,ch-030-heshbon-dalet,,נפתור בטור תרגילי חיבור וחיסור,6500,כיתה-ד-שיעור-15-ג-מבחן-מיצב-תרגילי-חיבור,כיתה ד - שיעור 15 ג - מבחן מיצ''ב - תרגילי חיבור וחיסור,http://www.youtube.com/watch?v=GXHvZu5bwow
מבחנים בחשבון,ch-040-tests-heshbon-dalet,,"נפתור יחד מבחן עם שאלות בנושאים:  מבנה עשרוני,",281,כיתה-ד-שיעור-01-מבנה-עשרוני-סדרות-חוק-הפ,כיתה ד - שיעור 01 א - מבחן - מבנה עשרוני,http://www.youtube.com/watch?v=iyOeA9VHwgo
מבחנים בהנדסה/גאומטריה,ch-070-test-handasa-dalet,01,מבחן מסכם לאמצע השנה בהנדסה,292,כיתה-ד-שיעור-01-מבחן-בהנדסה-אמצע-שנה,כיתה ד - שיעור 01 - מבחן בהנדסה אמצע שנה,http://www.youtube.com/watch?v=2ZU7BdOd5Iw
מבחנים בחשבון,ch-040-tests-heshbon-dalet,01,"מבחן מסכם עם החומר שנלמד כל השנה - חלק א בנושאים: מבנה עשרוני, סדרות, חיבור וחיסור בטור, חוק הפילוג.",296,כיתה-ד-שיעור-02-התחלקות-מספרים-פירוק-לגו,"כיתה ד - שיעור 02 - מבנה עשרוני, סדרות, חוק הפילוג.",http://www.youtube.com/watch?v=d2lNTxe0Y5I
שיעורי חשבון,ch-030-heshbon-gimel,01,נלמד על חוק החילוף בחיבור בעזרת שאלות מילוליות,307,כיתה-ג-שיעור-01-חוק-החילוף-בחיבור,כיתה ג - שיעור 01 - חוק החילוף בחיבור,http://www.youtube.com/watch?v=SMpBwaIj-GE
שיעורי חשבון,ch-030-heshbon-gimel,01,נלמד על חוק הקיבוץ בחיבור בעזרת שאלות מילוליות.,309,כיתה-ג-שיעור-02-חוק-הקיבוץ-בחיבור,כיתה ג - שיעור 02 - חוק הקיבוץ בחיבור,http://www.youtube.com/watch?v=d5vosIIBAMA
שיעורי חשבון,ch-030-heshbon-gimel,01,נלמד על דרכים שונות שיעזרו לנו בהמשך השיעורים לפתירת תרגילים בדרך קלה ומהירה.,311,כיתה-ג-שיעור-03-דרכים-לחישוב-החיבור,כיתה ג - שיעור 03 - דרכים לחישוב החיבור,http://www.youtube.com/watch?v=ugnC22XFVyc
שיעורי חשבון,ch-030-heshbon-gimel,01,נראה כיצד יש לגשת לפתירת שאלות מילוליות בחיבור.,313,כיתה-ג-שיעור-04-שאלות-מילוליות-בחיבור,כיתה ג - שיעור 04 - שאלות מילוליות בחיבור,http://www.youtube.com/watch?v=x2Pe3XoUpCs
שיעורי חשבון,ch-030-heshbon-gimel,01,נלמד על חיבור בטור/במאונך עם המרה בעזרת ציורי מטבעות של שקלים.,315,כיתה-ג-שיעור-05-חיבור-בטור-עם-המרה-הסבר,כיתה ג - שיעור 05 - חיבור בטור עם המרה - הסבר,http://www.youtube.com/watch?v=mPVkBp2NZX8
שיעורי חשבון,ch-030-heshbon-gimel,01,נלמד דרכים שונות בחיסור שיעזרו לנו לפתור תרגילי חיסור בדרך קלה.,318,כיתה-ג-שיעור-06-דרכים-לחישוב-חיסור,כיתה ג - שיעור 06 - דרכים לחישוב חיסור,http://www.youtube.com/watch?v=2TQS5ApbTQM
שיעורי חשבון,ch-030-heshbon-gimel,01,נלמד כיצד מבצעים פריטה בתרגילי חיסור.,320,כיתה-ג-שיעור-07-חיסור-בטור-ללא-ועם-פריטה,כיתה ג - שיעור 07 - חיסור בטור ללא ועם פריטה,http://www.youtube.com/watch?v=ErNUlmgoYpI
שיעורי חשבון,ch-030-heshbon-gimel,01,נסביר כיצד לפתור שאלות מילוליות בחיסור.,323,כיתה-ג-שיעור-08-שאלות-מילוליות-בחיסור,כיתה ג - שיעור 08 - שאלות מילוליות בחיסור,http://www.youtube.com/watch?v=HfkNL3Oya70
שיעורי חשבון,ch-030-heshbon-gimel,01,נסביר כיצד יש לחבר ולחסר בטור עם פירוק המספר ליחידות ולעשרות.,325,כיתה-ג-שיעור-09-חיבור-וחיסור-בטורבמאונך,כיתה ג - שיעור 09 - חיבור וחיסור בטור/במאונך,http://www.youtube.com/watch?v=lY4-Epy2Ndw
שיעורי חשבון,ch-030-heshbon-gimel,01,"הסבר על המבנה העשרוני של מספר חד,דו ותלת ספרתי, עם פירוקו לספרת היחידות/האחדות, העשרות והמאות. מכמה ספרות מורכב מספר ואילו הן? זיהוי ספרת ומספר היחידות/ האחדות, העשרות והמאות במספר. זיהוי ערך הספרה אפס במספר מסוים.",327,כיתה-ג-שיעור-10-הסבר-המבנה-העשרוני-של-מספ,כיתה ג - שיעור 10 - הסבר המבנה העשרוני של מספר,http://www.youtube.com/watch?v=JaB1EQMx2HQ
שיעורי הנדסה/גאומטריה,ch-050-handasa-gimel,,נלמד על מיון המצולעים לפי מספר הצלעות.,329,כיתה-ג-הנדסה-שיעור-01-שמות-מצולעים,כיתה ג - הנדסה - שיעור 01 - שמות מצולעים,http://www.youtube.com/watch?v=9DPwjl-IC_w
שיעורי הנדסה/גאומטריה,ch-050-handasa-gimel,,נלמד על זויות שונות ומה אופייני לכל זוית.,331,כיתה-ג-הנדסה-שיעור-02-זויות-שונות,כיתה ג - הנדסה - שיעור 02 - זויות שונות,http://www.youtube.com/watch?v=PD7eNjcfbdg
מבחנים בהנדסה/גאומטריה,ch-060-tests-handasa-gimel,01,מבחן בהנדסה על נושא - זויות,334,כיתה-ג-הנדסה-שיעור-01-מבחן-על-זויות,כיתה ג - הנדסה - שיעור 01 - מבחן על זויות,http://www.youtube.com/watch?v=RqeiQqgcvp0
מבחנים בהנדסה/גאומטריה,ch-070-test-handasa-dalet,,נלמד כיצד לפתור מבחן בהנדסה עם שאלות בנושא שטח והיקף מלבן.,844,כיתה-ה-הנדסה-שיעור-02-מבחן-שטח-והיקף-מלבן,כיתה ה - הנדסה - שיעור 02 - מבחן שטח והיקף מלבן,http://www.youtube.com/watch?v=hW485GYjOEY
מבחנים בחשבון,ch-040-tests-heshbon-dalet,,נפתור תרגילים בנושא מבנה עשרוני,6141,כיתה-ד-שיעור-01-ב-מבחן-מבנה-עשרוני,כיתה ד - שיעור 01 ב - מבחן - מבנה עשרוני,http://www.youtube.com/watch?v=y2wWw_UnZgg
מבחנים בחשבון,ch-040-tests-heshbon-dalet,,נמצא את השכן הגדול של מספר שנמצא מימינו על ישר המספרים והשכן הקטן שנמצא משמאלו.,6143,כיתה-ד-שיעור-01-ג-מבחן-שכנים-של-מספר,כיתה ד - שיעור 01 ג - מבחן - שכנים של מספר,http://www.youtube.com/watch?v=Bsebu0_N2-s
מבחנים בחשבון,ch-040-tests-heshbon-dalet,,כללים: כפל וחילוק קודמים לחיבור וחיסור הסוגריים קודמים לכל הפעולות,6145,כיתה-ד-שיעור-01-ד-מבחן-סדר-פעולות,כיתה ד - שיעור 01 ד - מבחן - סדר פעולות,http://www.youtube.com/watch?v=KzTyiEnD1cA
מבחנים בהנדסה/גאומטריה,ch-060-tests-handasa-gimel,01,מבחן אמצע שנה בהנדסה.,336,כיתה-ג-הנדסה-שיעור-02-מבחן-אמצע-שנה,כיתה ג - הנדסה - שיעור 02 - מבחן אמצע שנה,http://www.youtube.com/watch?v=LVWE2d9X7cA
מבחנים בחשבון,ch-040-tests-heshbon-gimel,01,מבחן תחילת שנה - נחזור על החומר שלמדנו בכיתה א' ונראה מה אנו זוכרים.,339,כיתה-ג-שיעור-01-מבחן-בחשבון-תחילת-שנה,כיתה ג - שיעור 01 - מבחן בחשבון תחילת שנה,http://www.youtube.com/watch?v=v9h93sR5LSA
מבחנים בחשבון,ch-040-tests-heshbon-gimel,01,המשך המבחן של השיעור הקודם.,341,כיתה-ג-שיעור-02-המשך-מבחן-בחשבון-תחילת-שנ,כיתה ג - שיעור 02 - המשך מבחן בחשבון תחילת שנה,http://www.youtube.com/watch?v=L1Bc3YUp5UM
שיעורי הנדסה/גאומטריה,ch-050-handasa-bet,01,נלמד לשרטט קו פתוח וסגור בהתאם לכללים הנלמדים.,349,כיתה-ב-הנדסה-שיעור-01-קוים-פתוחים-וסגור,כיתה ב - הנדסה - שיעור 01 א - קוים פתוחים וסגורים,http://www.youtube.com/watch?v=ZegMRJyH6oI
שיעורי הנדסה/גאומטריה,ch-050-handasa-bet,,מצולע הוא קו שבור סגור. לכל צד של המצולע קוראים צלע. כל מצולע בנוי מצלעות.  שם המצולע מתאים למספר הצלעות שלו. נסביר מהי צלע ונפתור תרגילים בנושא צלעות במצולעים,351,כיתה-ב-הנדסה-שיעור-02-מיון-מצולעים,כיתה ב - הנדסה - שיעור 02 א - צלעות במצולעים,http://www.youtube.com/watch?v=qOWx7XDF8vE
מבחנים בחשבון,ch-040-tests-heshbon-bet,01,מבחן תחילת שנה של כיתה ב - חזרה כוללת על החומר הנלמד בכיתה א בנושאים: השלמת מספרים חסרים בתרגילי חיבור וחיסור בעשרת ראשונה;,353,כיתה-ב-שיעור-01-מבחן-חיבור-וחיסור-מספרים,כיתה ב - שיעור 01 א - מבחן חיבור וחיסור מספרים חד ספרתיים,http://www.youtube.com/watch?v=P9oeDDTjoUI
מבחנים בחשבון,ch-040-tests-heshbon-bet,,שאלות מילוליות,355,כיתה-ב-שיעור-02-מבחן-תחילת-שנה-חלק-ב,כיתה ב - שיעור 02 א - מבחן - שאלות מילוליות,http://www.youtube.com/watch?v=jr1isaXUdow
מבחנים בהנדסה/גאומטריה,מבחנים-בהנדסהגאומטריה,01,מבחן בהנדסה בו נפתור שאלות הקשורות ליחידת שטח והיקף.,357,כיתה-ב-הנדסה-שיעור-01-מבחן-בהנדסה,כיתה ב - הנדסה - שיעור 01 - מבחן בהנדסה,http://www.youtube.com/watch?v=LNRGA6qiTCs
מבחנים בהנדסה/גאומטריה,מבחנים-בהנדסהגאומטריה,01,מבחן בהנדסה על כל החומר שנלמד בכיתה ב'. חישוב היקף ושטח של יחידה בהתאם לכמות מספר יחידות ההיקף והשטח.,359,כיתה-ב-שיעור-02-מבחן-סוף-שנה-בהנדסה,כיתה ב - שיעור 02 - מבחן סוף שנה בהנדסה,http://www.youtube.com/watch?v=A9eFcGnySm8
מבחנים בחשבון,ch-040-tests-heshbon-bet,,מבחן בחשבון על החומר הנלמד  בכיתה ב בנושאים: השלמת סדרות;,361,כיתה-ב-שיעור-03-מבדק-חלק-א,כיתה ב - שיעור 03 א - מבדק - סדרות,http://www.youtube.com/watch?v=0q7bW_YCT1I
שיעורי הנדסה/גאומטריה,ch-050-handasa-bet,,נפתור תרגילים נוספים בנושא מיון קוים,5855,כיתה-ב-הנדסה-שיעור-01-ב-המשך-קוים-פתוחים,כיתה ב - הנדסה - שיעור 01 ב - המשך קוים פתוחים וסגורים,http://www.youtube.com/watch?v=poXpC4uA9BE
שיעורי הנדסה/גאומטריה,ch-050-handasa-bet,,לכל מצולע יש קודקודים:   קודקוד הוא המפגש שבין שתי צלעות.,5859,כיתה-ב-הנדסה-שיעור-02-ב-קודקודים-במצולע,כיתה ב - הנדסה - שיעור 02 ב - קודקודים במצולעים,http://www.youtube.com/watch?v=v68lDRZ-NxI
שיעורי הנדסה/גאומטריה,ch-050-handasa-bet,,כל שתי צלעות שנפגשות בקודקוד יוצרות זווית.,5861,כיתה-ב-הנדסה-שיעור-02-ג-זוויות-במצולעים,כיתה ב - הנדסה - שיעור 02 ג - זוויות במצולעים,http://www.youtube.com/watch?v=-Q3soCykiIg
מבחנים בחשבון,ch-040-tests-heshbon-bet,,חיבור וחיסור מספרים דו ספרתיים,6092,כיתה-ב-שיעור-01-ב-מבחן-חיבור-וחיסור-מספרי,כיתה ב - שיעור 01 ב - מבחן חיבור וחיסור מספרים דו ספרתיים,http://www.youtube.com/watch?v=eII3y8drnVo
מבחנים בחשבון,ch-040-tests-heshbon-bet,,השכן הגדול מימין למספר גדול ממנו באחד. השכן הקטן משמאל למספר קטן ממנו באחד.,6094,כיתה-ב-שיעור-01-ג-מבחן-שכנים-של-מספר,כיתה ב - שיעור 01 ג - מבחן - שכנים של מספר,http://www.youtube.com/watch?v=0nzKCU8LQbc
מבחנים בחשבון,ch-040-tests-heshbon-bet,,נמצא את הפרש הסדרה ונשלים אותה.,6096,כיתה-ב-שיעור-01-ד-מבחן-סדרות,כיתה ב - שיעור 01 ד - מבחן - סדרות,http://www.youtube.com/watch?v=mN4Xm2mM0vE
מבחנים בחשבון,ch-040-tests-heshbon-bet,,חיבור בעשרות הוא כמו חיבור מספר חד ספרתי והוספת אפס בצידו הימני של המספר,6098,כיתה-ב-שיעור-01-ה-מבחן-חיבור-וחיסור-בעשר,כיתה ב - שיעור 01 ה - מבחן - חיבור וחיסור בעשרות שלמות,http://www.youtube.com/watch?v=iO_9aiKvdgo
מבחנים בחשבון,ch-040-tests-heshbon-bet,,נלמד להשוות את המספרים ולפתור תרגילים בנושא.,6100,כיתה-ב-שיעור-01-ו-מבחן-התאמת-סימנים,כיתה ב - שיעור 01 ו - מבחן - התאמת סימנים,http://www.youtube.com/watch?v=7YHD0-Hy6V0
מבחנים בחשבון,ch-040-tests-heshbon-bet,,נפתור סיפורים חשבוניים בעזרת ציורים מתאימים,6104,כיתה-ב-שיעור-02-ב-מבחן-שאלות-מילוליות,כיתה ב - שיעור 02 ב - מבחן - שאלות מילוליות,http://www.youtube.com/watch?v=9b_xJQBwE_0
מבחנים בחשבון,ch-040-tests-heshbon-bet,,נלמד למצוא שכנים של מספר.  מימין נמצא את המספר העוקב משמאל נמצא את המספר הקודם,6106,כיתה-ב-שיעור-03-ב-מבדק-שכנים-של-מספר,כיתה ב - שיעור 03 ב - מבדק - שכנים של מספר,http://www.youtube.com/watch?v=nD48ku-QSq4
מבחנים בחשבון,ch-040-tests-heshbon-bet,01,חלק שני של המבדק לכיתה ב' בנושאים:  מבנה עשרוני; מציאת מספר גדול/קטן ממספר כלשהו; מציאת המספר הגדול ביותר; תרגילי כפל בעשרת ראשונה; זוהוי מספר זוגי ואי-זוגי; מציאת הפרש בין מספרים.,364,כיתה-ב-שיעור-04-מבדק-חלק-ב,כיתה ב - שיעור 04 א - מבדק - מבנה עשרוני,http://www.youtube.com/watch?v=IitH6_4_fW8
שיעורי חשבון,ch-030-heshbon-gimel,11,פירוק מספר ליחידות ולעשרות.,368,כיתה-ג-שיעור-11-תרגול-מבנה-עשרוני,כיתה ג - שיעור 11 - תרגול מבנה עשרוני,http://www.youtube.com/watch?v=7cxIXF5kFIY
שיעורי חשבון,ch-030-heshbon-gimel,12,נלמד על סדרות עולות ויורדות וכיצד מזהים אותן.,372,כיתה-ג-שיעור-12-סדרות,כיתה ג - שיעור 12 - סדרות,http://www.youtube.com/watch?v=rbl4GOShtoQ
